C000001_cs_000	Zaměstnanci v ozbrojených silách
C003164_cs_002	asistent poslance parlamentu
C003164_cs_003	asistentka poslance Evropského parlamentu
C003164_cs_004	asistentka poslance parlamentu
C003165_cs_000	specialista zahraničního obchodu v oblasti tabákových výrobků/specialistka zahraničního obchodu v oblasti tabákových výrobků
C003165_cs_001	specialista zahraničního obchodu v oblasti tabákových výrobků
C003165_cs_002	specialistka zahraničního obchodu v oblasti tabákových výrobků
C003166_cs_000	manažer propagace/manažerka propagace
C003166_cs_001	koordinátor propagace
C003166_cs_002	koordinátorka propagace
C003166_cs_003	manažer propagace
C003166_cs_004	manažer propagace a marketingu
C003166_cs_005	manažerka propagace
C003166_cs_006	manažerka propagace a marketingu
C003166_cs_007	vedoucí propagace
C003166_cs_008	vedoucí propagace a marketingu
C003166_cs_009	ředitel propagace
C003166_cs_010	ředitelka propagace
C003167_cs_000	kouč/koučka
C003167_cs_001	interní kouč
C003167_cs_002	interní koučka
C003167_cs_003	kouč
C003167_cs_004	kouč managementu
C003167_cs_005	koučka
C003167_cs_006	koučka managementu
C003168_cs_000	manažer pro dovoz a vývoz farmaceutických výrobků/manažerka pro dovoz a vývoz farmaceutických výrobků
C003168_cs_001	manažer pro dovoz a vývoz farmaceutických výrobků
C003168_cs_002	manažerka pro dovoz a vývoz farmaceutických výrobků
C003169_cs_000	specialista úseku vztahového bankovnictví/specialistka úseku vztahového bankovnictví
C003169_cs_001	bankovní úřednice
C003169_cs_002	bankovní úředník
C003169_cs_003	bankéř
C003169_cs_004	bankéřka
C003169_cs_005	specialista úseku vztahového bankovnictví
C003169_cs_006	specialistka úseku vztahového bankovnictví
C003169_cs_007	úřednice úseku vztahového bankovnictví
C003169_cs_008	úředník úseku vztahového bankovnictví
C003170_cs_000	správce konkurzní podstaty/správkyně konkurzní podstaty
C003170_cs_001	správce konkurzní podstaty
C003170_cs_002	správkyně konkurzní podstaty
C003171_cs_000	traťový dělník /traťová dělnice
C003171_cs_001	traťová dělnice
C003171_cs_002	traťový dělník
C003172_cs_000	technik čistírny odpadních vod/technička čistírny odpadních vod
C003172_cs_001	technik čistírny odpadních vod
C003172_cs_002	technička čistírny odpadních vod
C003173_cs_000	letecký mechanik – avionik/letecká mechanička – avionička
C003173_cs_001	letecká mechanička – avionička
C003173_cs_002	letecký mechanik – avionik
C003174_cs_000	obsluha strojů na dokončování výroby a balení obuvi
C003174_cs_001	obsluha lepicích strojů
C003174_cs_002	obsluha strojů na dokončování obuvi
C003175_cs_000	inspektor hmotnosti a rozměrů/inspektorka hmotnosti a rozměrů
C003175_cs_001	inspektor hmotnosti a rozměrů
C003175_cs_002	inspektorka hmotnosti a rozměrů
C003176_cs_000	prodavač podlahových a nástěnných krytin/prodavačka podlahových a nástěnných krytin
C003176_cs_001	prodavač dekorace interiérů
C003176_cs_002	prodavač koberců
C003176_cs_003	prodavač podlahových a nástěnných krytin
C003176_cs_004	prodavačka dekorace interiérů
C003176_cs_005	prodavačka koberců
C003176_cs_006	prodavačka podlahových a nástěnných krytin
C003177_cs_000	montážní dělník desek s plošnými spoji/montážní dělnice desek s plošnými spoji
C003177_cs_001	montážní dělnice desek s plošnými spoji
C003177_cs_002	montážní dělník desek s plošnými spoji
C003177_cs_003	montér desek s plošnými spoji
C003177_cs_004	technik výroby desek s plošnými spoji
C003177_cs_005	technička výroby desek s plošnými spoji
C003178_cs_000	lokalizátor/lokalizátorka
C003178_cs_001	lokalizační manažer
C003178_cs_002	lokalizační manažerka
C003178_cs_003	lokalizační tester her
C003178_cs_004	lokalizátor
C003178_cs_005	lokalizátorka
C003178_cs_006	manažer lokalizačního projektu
C003178_cs_007	manažerka lokalizačního projektu
C003178_cs_008	vedoucí lokalizačního projektu
C003179_cs_000	inspektor lodních motorů/inspektorka lodních motorů
C003179_cs_001	inspektor lodních motorů
C003179_cs_002	inspektorka lodních motorů
C003180_cs_000	obsluha zařízení na bělení vosku
C003181_cs_000	manažer sortimentu/manažerka sortimentu
C003181_cs_001	manažer sortimentu
C003181_cs_002	manažerka sortimentu
C003182_cs_000	přednášející v oboru matematika
C003183_cs_000	technik řízení jakosti v chemické výrobě/technička řízení jakosti v chemické výrobě
C003183_cs_001	chemická technička
C003183_cs_002	chemický technik
C003183_cs_003	technik v chemickém inženýrství
C003183_cs_004	technička v chemickém inženýrství
C003184_cs_000	placený doprovod anebo sexuální služby
C003184_cs_001	eskort
C003184_cs_002	gigolo
C003184_cs_003	luxusní společnice
C003184_cs_004	prostitut
C003184_cs_005	prostitutka
C003185_cs_000	mlynář/mlynářka
C003185_cs_001	mlynář
C003185_cs_002	mlynářka
C003185_cs_003	pracovnice mlýna
C003185_cs_004	pracovník mlýna
C003186_cs_000	dekoratér porcelánu/dekoratérka porcelánu
C003186_cs_001	dekoratér porcelánu
C003186_cs_002	dekoratérka porcelánu
C003187_cs_000	novinář se zaměřením na ekonomiku/novinářka se zaměřením na ekonomiku
C003187_cs_001	ekonomická komentátorka
C003187_cs_002	ekonomický komentátor
C003187_cs_003	novinář se zaměřením na ekonomiku
C003187_cs_004	novinářka se zaměřením na ekonomiku
C003188_cs_000	front of house manažer/front of house manažerka
C003188_cs_001	FoH manažer
C003188_cs_002	FoH manažerka
C003188_cs_003	front of house manažer
C003188_cs_004	front of house manažerka
C003188_cs_005	inspektor hlediště
C003188_cs_006	inspektorka hlediště
C003188_cs_007	vedoucí hledištní služby
C003189_cs_000	umělecký vedoucí/umělecká vedoucí
C003189_cs_001	umělecká vedoucí
C003189_cs_002	umělecká vedoucí tanečního souboru
C003189_cs_003	umělecká ředitelka
C003189_cs_004	umělecký vedoucí
C003189_cs_005	umělecký vedoucí tanečního souboru
C003189_cs_006	umělecký ředitel
C003189_cs_007	ředitel orchestru
C003189_cs_008	ředitelka orchestru
C003190_cs_000	obsluha šicích strojů na úpravy a opravy oděvů
C003190_cs_001	krejčí pro úpravy oděvů
C003190_cs_002	úpravář oděvů
C003190_cs_003	úpravářka oděvů
C003190_cs_004	šič při úpravách a opravách oděvů
C003190_cs_005	šička při úpravách a opravách oděvů
C003190_cs_006	švadlena pro úpravy oděvů
C003191_cs_000	konstruktér motorů/konstruktérka motorů
C003191_cs_001	konstruktér motorů
C003191_cs_002	konstruktérka motorů
C003192_cs_000	plánovač nákupů/plánovačka nákupů
C003192_cs_001	plánovač nákupů
C003192_cs_002	plánovačka nákupů
C003193_cs_000	pracovník slévárny/pracovnice slévárny
C003193_cs_001	pracovnice slévárny
C003193_cs_002	pracovník slévárny
C003193_cs_003	slévač
C003193_cs_004	slévačka
C003194_cs_000	manažer pro dovoz a vývoz ovoce a zeleniny/manažerka pro dovoz a vývoz ovoce a zeleniny
C003194_cs_001	manažer pro dovoz a vývoz ovoce a zeleniny
C003194_cs_002	manažerka pro dovoz a vývoz ovoce a zeleniny
C003195_cs_000	manažer pro dovoz a vývoz zemědělských surovin, osiv a krmiv/manažerka pro dovoz a vývoz zemědělských surovin, osiv a krmiv
C003195_cs_001	manažer pro dovoz a vývoz zemědělských surovin, osiv a krmiv
C003195_cs_002	manažerka pro dovoz a vývoz zemědělských surovin, osiv a krmiv
C003196_cs_000	balzamovač/balzamovačka
C003196_cs_001	balzamovač
C003196_cs_002	balzamovačka
C003197_cs_000	mistr sladovník/mistrová sladovnice
C003197_cs_001	mistr sladovník
C003197_cs_002	mistrová sladovnice
C003197_cs_003	vrchní sladovnice
C003197_cs_004	vrchní sladovník
C003198_cs_000	opravář klenotů/opravářka klenotů
C003198_cs_001	opravář klenotů
C003198_cs_002	opravářka klenotů
C003199_cs_000	mistr montáže kolejových vozidel/mistrová montáže kolejových vozidel
C003199_cs_001	mistr montáže kolejových vozidel
C003199_cs_002	mistrová montáže kolejových vozidel
C003199_cs_003	vedoucí montáže kolejových vozidel
C003200_cs_000	sociální pracovník v oblasti rehabilitace/sociální pracovnice v oblasti rehabilitace
C003200_cs_001	ergoterapeutická asistentka
C003200_cs_002	ergoterapeutický asistent
C003200_cs_003	rehabilitační pracovnice
C003200_cs_004	rehabilitační pracovník
C003200_cs_005	sociální pracovnice v oblasti rehabilitace
C003200_cs_006	sociální pracovník v oblasti rehabilitace
C003201_cs_000	specialista zahraničního obchodu v oblasti porcelánu a skleněných výrobků/specialistka zahraničního obchodu v oblasti porcelánu a skleněných výrobků
C003201_cs_001	specialista zahraničního obchodu v oblasti porcelánu a skleněných výrobků
C003201_cs_002	specialistka zahraničního obchodu v oblasti porcelánu a skleněných výrobků
C003202_cs_000	webmaster/webmasterka
C003202_cs_001	správce internetových stránek
C003202_cs_002	správce webových stránek
C003202_cs_003	správkyně internetových stránek
C003202_cs_004	správkyně webových stránek
C003202_cs_005	webmaster
C003202_cs_006	webmasterka
C003203_cs_000	obsluha kontejnerového jeřábu
C003203_cs_001	jeřábnice pro kontejnerové jeřáby
C003203_cs_002	jeřábník pro kontejnerové jeřáby
C003203_cs_003	obsluha jeřábu v docích
C003203_cs_004	obsluha lodního jeřábu
C003203_cs_005	obsluha přístavního jeřábu
C003204_cs_000	opravář obuvi/opravářka obuvi
C003204_cs_001	obuvnice
C003204_cs_002	obuvník
C003204_cs_003	opravář obuvi
C003204_cs_004	opravářka obuvi
C003204_cs_005	švec
C003205_cs_000	inženýr v oboru obrábění/inženýrka v oboru obrábění
C003205_cs_001	inženýr povrchových úprav
C003205_cs_002	inženýr v oboru obrábění
C003205_cs_003	inženýrka povrchových úprav
C003205_cs_004	inženýrka v oboru obrábění
C003205_cs_005	korozní inženýr
C003205_cs_006	korozní inženýrka
C003206_cs_000	promítač
C003206_cs_001	obsluha promítacího zařízení
C003207_cs_000	technik v oboru optoelektroniky/technička v oboru optoelektroniky
C003207_cs_001	technik v oboru optoelektroniky
C003207_cs_002	technička v oboru optoelektroniky
C003208_cs_000	vedoucí call centra
C003208_cs_001	manažer call centra
C003208_cs_002	manažerka call centra
C003208_cs_003	vedoucí telefonického centra
C003209_cs_000	pracovník demoličních prací/pracovnice demoličních prací
C003209_cs_001	pracovnice demoličních prací
C003209_cs_002	pracovník demoličních prací
C003210_cs_000	správce bytových domů/správkyně bytových domů
C003210_cs_001	správce bytových domů
C003210_cs_002	správkyně bytových domů
C003211_cs_000	specialista zahraničního obchodu v oblasti parfémů a kosmetických výrobků/specialistka zahraničního obchodu v oblasti parfémů a kosmetických výrobků
C003211_cs_001	specialista zahraničního obchodu v oblasti parfémů a kosmetických výrobků
C003211_cs_002	specialistka zahraničního obchodu v oblasti parfémů a kosmetických výrobků
C003212_cs_000	pracovník lodní posádky/pracovnice lodní posádky
C003212_cs_001	pracovnice lodní posádky
C003212_cs_002	pracovník lodní posádky
C003213_cs_000	předák/předačka přístavních dělníků
C003214_cs_000	manažer distribuce elektrických spotřebičů pro domácnost/manažerka distribuce elektrických spotřebičů pro domácnost
C003214_cs_001	manažer distribuce elektrických spotřebičů pro domácnost
C003214_cs_002	manažerka distribuce elektrických spotřebičů pro domácnost
C003215_cs_000	inspektor nebezpečného odpadu/inspektorka nebezpečného odpadu
C003215_cs_001	inspektor nebezpečného odpadu
C003215_cs_002	inspektorka nebezpečného odpadu
C003216_cs_000	vedoucí půjčovny
C003217_cs_000	velkoobchodník se živými zvířaty/velkoobchodnice se živými zvířaty
C003217_cs_001	velkoobchodnice se živými zvířaty
C003217_cs_002	velkoobchodník se živými zvířaty
C003218_cs_000	energetický konzultant/energetická konzultantka
C003218_cs_001	energetická konzultantka
C003218_cs_002	energetický konzultant
C003219_cs_000	manažer značky/manažerka značky
C003219_cs_001	brand manager
C003219_cs_002	manažer značky
C003219_cs_003	manažerka značky
C003220_cs_000	manažer programového financování/manažerka programového financování
C003220_cs_001	manažer programového financování
C003220_cs_002	manažerka programového financování
C003221_cs_000	montér přesných přístrojů/montérka přesných přístrojů
C003221_cs_001	montér přesných přístrojů
C003221_cs_002	montérka přesných přístrojů
C003222_cs_000	projektant topných, ventilačních, klimatizačních a chladicích systémů/projektantka topných, ventilačních, klimatizačních a chladicích systémů
C003222_cs_001	projektant topných, ventilačních, klimatizačních a chladicích systémů
C003222_cs_002	projektantka topných, ventilačních, klimatizačních a chladicích systémů
C003223_cs_000	konzervátor/konzervátorka ovoce a zeleniny
C003223_cs_001	konzervátor ovoce a zeleniny
C003223_cs_002	konzervátorka ovoce a zeleniny
C003223_cs_003	pracovník linky pro konzervaci ovoce a zeleniny
C003224_cs_000	obsluha zařízení pro máčení v latexové lázni
C003224_cs_001	obsluha máčecího stroje na výrobu výrobků z pryže
C003225_cs_000	vedoucí důlní výroby
C003225_cs_001	dispečer důlní výroby
C003225_cs_002	dispečerka důlní výroby
C003226_cs_000	analytik dividend/analytička dividend
C003226_cs_001	analytik dividend
C003226_cs_002	analytička dividend
C003227_cs_000	vedoucí provozu prádelny-čistírny
C003227_cs_001	vedoucí provozu prádelny
C003227_cs_002	vedoucí provozu čistírny
C003228_cs_000	pracovník výroby cukrovinek/pracovnice výroby cukrovinek
C003228_cs_001	obsluha stroje na výrobu cukrářských výrobků
C003228_cs_002	pracovnice výroby cukrovinek
C003228_cs_003	pracovník výroby cukrovinek
C003229_cs_000	strážce přírody/strážkyně přírody
C003229_cs_001	průvodce přírodou
C003229_cs_002	průvodkyně přírodou
C003229_cs_003	správce parku
C003229_cs_004	správkyně parku
C003229_cs_005	strážce přírody
C003229_cs_006	strážkyně přírody
C003230_cs_000	specialista v oblasti reklamy/specialistka v oblasti reklamy
C003230_cs_001	reklamní specialista
C003230_cs_002	reklamní specialistka
C003230_cs_003	specialista v oblasti reklamy
C003230_cs_004	specialistka v oblasti reklamy
C003231_cs_000	chemik v odvětví parfémů/chemička v odvětví parfémů
C003231_cs_001	chemik v odvětví parfémů
C003231_cs_002	chemička v odvětví parfémů
C003232_cs_000	prodavač v prodejně hudebních nahrávek a videonahrávek/prodavačka v prodejně hudebních nahrávek a videonahrávek
C003232_cs_001	prodavač hudebnin
C003232_cs_002	prodavač hudebních nástrojů
C003232_cs_003	prodavač v prodejně hudebních nahrávek a videonahrávek
C003232_cs_004	prodavačka hudebnin
C003232_cs_005	prodavačka hudebních nástrojů
