C000001_en_000	Armed forces occupations
C003250_en_007	foundry worker
C003250_en_008	foundryman
C003250_en_009	ladleman
C003250_en_010	ladleperson
C003250_en_011	metal caster
C003250_en_012	metal molder
C003250_en_013	metal moulder
C003250_en_014	mold casting worker
C003250_en_015	molding and casting worker
C003250_en_016	mould casting worker
C003250_en_017	moulding and casting worker m,f,n)
C003250_en_018	pourer and caster
C003251_en_000	import export manager in fruit and vegetables
C003251_en_001	assistant export manager in fruit and vegetables
C003251_en_002	assistant import export manager in fruit and vegetables
C003251_en_003	assistant import manager in fruit and vegetables
C003251_en_004	customs compliance manager in fruit and vegetables
C003251_en_005	graduate export manager in fruit and vegetables
C003251_en_006	graduate import export manager in fruit and vegetables
C003251_en_007	graduate import manager in fruit and vegetables
C003251_en_008	international trade compliance manager in fruit and vegetables
C003251_en_009	international trade manager in fruit and vegetables
C003251_en_010	senior export manager in fruit and vegetables
C003251_en_011	senior import export manager in fruit and vegetables
C003251_en_012	senior import manager in fruit and vegetables
C003251_en_013	trainee export manager in fruit and vegetables
C003251_en_014	trainee import export manager in fruit and vegetables
C003251_en_015	trainee import manager in fruit and vegetables
C003252_en_000	import export manager in agricultural raw materials, seeds and animal feeds
C003252_en_001	assistant export manager in agricultural raw materials, seeds and animal feeds
C003252_en_002	assistant import export manager in agricultural raw materials, seeds and animal feeds
C003252_en_003	assistant import manager in agricultural raw materials, seeds and animal feeds
C003252_en_004	customs compliance manager in agricultural raw materials, seeds and animal feeds
C003252_en_005	graduate export manager in agricultural raw materials, seeds and animal feeds
C003252_en_006	graduate import export manager in agricultural raw materials, seeds and animal feeds
C003252_en_007	graduate import manager in agricultural raw materials, seeds and animal feeds
C003252_en_008	international trade compliance manager in agricultural raw materials, seeds and animal feeds
C003252_en_009	international trade manager in agricultural raw materials, seeds and animal feeds
C003252_en_010	senior export manager in agricultural raw materials, seeds and animal feeds
C003252_en_011	senior import export manager in agricultural raw materials, seeds and animal feeds
C003252_en_012	senior import manager in agricultural raw materials, seeds and animal feeds
C003252_en_013	trainee export manager in agricultural raw materials, seeds and animal feeds
C003252_en_014	trainee import export manager in agricultural raw materials, seeds and animal feeds
C003252_en_015	trainee import manager in agricultural raw materials, seeds and animal feeds
C003253_en_000	embalmer
C003254_en_000	malt master
C003254_en_001	malt expert
C003254_en_002	malter
C003254_en_003	malting expert
C003254_en_004	malting master
C003255_en_000	jewellery repairer
C003255_en_001	adornment repairer
C003255_en_002	jewellery hammersmith
C003255_en_003	jewellery repair technician
C003255_en_004	jewelry repairer
C003256_en_000	rolling stock assembly supervisor
C003256_en_001	carriage assembly supervisor
C003256_en_002	carriage production supervisor
C003256_en_003	locomotive assembly supervisor
C003256_en_004	locomotive production supervisor
C003256_en_005	multiple unit assembly supervisor
C003256_en_006	multiple unit production supervisor
C003256_en_007	rail traction production supervisor
C003256_en_008	rail vehicle assembly supervisor
C003256_en_009	rail vehicle production supervisor
C003256_en_010	railcar assembly supervisor
C003256_en_011	railcar production supervisor
C003256_en_012	railway vehicle assembly supervisor
C003256_en_013	railway vehicle production supervisor
C003256_en_014	rolling stock assembly quality supervisor
C003256_en_015	rolling stock production supervisor
C003256_en_016	rolling stock production supervisor supervisor
C003256_en_017	traction assembly supervisor
C003256_en_018	wagon assembly supervisor
C003256_en_019	wagon production supervisor
C003257_en_000	rehabilitation support worker
C003257_en_001	disability social worker
C003257_en_002	occupational therapy support worker
C003257_en_003	reablement officer
C003257_en_004	rehabilitation outreach worker
C003257_en_005	rehabilitation social worker
C003257_en_006	rehabilitation support specialist
C003257_en_007	rehabilitation worker
C003258_en_000	import export specialist in china and other glassware
C003258_en_001	assistant export specialist in china and glassware
C003258_en_002	assistant import export specialist in china and glassware
C003258_en_003	assistant import specialist in china and glassware
C003258_en_004	customs compliance specialist in china and glassware
C003258_en_005	graduate export specialist in china and glassware
C003258_en_006	graduate import export specialist in china and glassware
C003258_en_007	graduate import specialist in china and glassware
C003258_en_008	international trade compliance specialist in china and glassware
C003258_en_009	senior export specialist in china and glassware
C003258_en_010	senior import export specialist in china and glassware
C003258_en_011	senior import specialist in china and glassware
C003258_en_012	trainee export specialist in china and glassware
C003258_en_013	trainee import export specialist in china and glassware
C003258_en_014	trainee import specialist in china and glassware
C003259_en_000	webmaster
C003259_en_001	e-commerce technician
C003259_en_002	web administrator
C003259_en_003	web technician
C003259_en_004	webmasters
C003259_en_005	website administrator
C003260_en_000	container crane operator
C003260_en_001	crane driver
C003260_en_002	dock crane operator
C003260_en_003	dockside crane operator
C003260_en_004	operator of container crane
C003260_en_005	ship crane operator
C003260_en_006	shipping container crane operator
C003260_en_007	straddle crane operator
C003261_en_000	digital marketing manager
C003261_en_001	digital marketing and communication professional
C003261_en_002	digital marketing specialist
C003261_en_003	digital marketing technician
C003261_en_004	social media specialist
C003261_en_005	web marketing specialist
C003262_en_000	shoe repairer
C003262_en_001	boot maker
C003262_en_002	boot repairer
C003262_en_003	cobbler
C003262_en_004	shoe maker
C003262_en_005	shoe polisher
C003263_en_000	surface engineer
C003263_en_001	corrosion engineer
C003263_en_002	engineering operative
C003263_en_003	engineering operator
C003263_en_004	heavy equipment operative
C003263_en_005	surface engineering adviser
C003263_en_006	surface engineering consultant
C003263_en_007	surface engineering equipment technician
C003263_en_008	surface engineering expert
C003263_en_009	surface engineering operative
C003263_en_010	surface engineering operator
C003263_en_011	surface engineering specialist
C003263_en_012	surface engineering technician
C003263_en_013	surface engineering worker
C003263_en_014	surface engineers
C003263_en_015	surface equipment operator
C003263_en_016	surface technology engineer
C003263_en_017	surface technology engineering adviser
C003263_en_018	surface technology engineering consultant
C003263_en_019	surface technology engineering expert
C003263_en_020	surface technology engineering specialist
C003264_en_000	projectionist
C003264_en_001	booth operator
C003264_en_002	cinema projectionist
C003264_en_003	digital cinema projectionist
C003264_en_004	film projectionist
C003264_en_005	movie projector operator
C003264_en_006	projection operator
C003264_en_007	projection technician
C003264_en_008	projector booth operator
C003264_en_009	projector operator
C003265_en_000	optoelectronic engineering technician
C003265_en_001	opto-electronic engineering technician
C003265_en_002	opto-electronic technician
C003265_en_003	optoelectronic engineering technologist
C003265_en_004	optoelectronic systems technician
C003265_en_005	optoelectronic systems technologist
C003265_en_006	optoelectronic technician
C003265_en_007	technician in optoelectronic systems
C003265_en_008	technician in optoelectronics
C003265_en_009	technologist in optoelectronic engineering
C003265_en_010	technologist in optoelectronic systems
C003266_en_000	call centre manager
C003266_en_001	call center manager
C003266_en_002	call centre coordinator
C003266_en_003	call centre director
C003266_en_004	client centre manager
C003266_en_005	contact centre coordinator
C003266_en_006	contact centre manager
C003266_en_007	customer centre manager
C003267_en_000	demolition worker
C003267_en_001	demolition and dismantling worker
C003267_en_002	demolition experienced worker
C003267_en_003	demolition labourer
C003267_en_004	demolition operations worker
C003267_en_005	demolition project worker
C003267_en_006	demolition reclamation operative
C003267_en_007	demolition site worker
C003267_en_008	mattockman
C003267_en_009	mattockwoman
C003267_en_010	topman
C003267_en_011	topwoman
C003268_en_000	housing manager
C003268_en_001	housing administrator
C003268_en_002	housing agent
C003268_en_003	housing coordinator
C003268_en_004	housing officer
C003268_en_005	neighbourhood manager
C003269_en_000	import export specialist in perfume and cosmetics
C003269_en_001	assistant export specialist in perfume and cosmetics
C003269_en_002	assistant import export specialist in perfume and cosmetics
